Time Distance Ego_vehicle_velocity Leading_vehicle_velocity
8.291457286432159179e+00 5.540914700367330248e+00 4.495827699049346649e+00 5.000000000000000000e+00
8.542713567839195221e+00 5.667604782144740838e+00 4.496314422534354094e+00 5.000000000000000000e+00
8.793969849246231263e+00 5.793751969689257209e+00 4.500041012046423816e+00 5.000000000000000000e+00
9.045226130653265528e+00 5.918619665993721135e+00 4.506406777940975772e+00 5.000000000000000000e+00
9.296482412060299794e+00 6.041610868625200581e+00 4.514899194631516899e+00 5.000000000000000000e+00
9.547738693467335835e+00 6.162247501959450702e+00 4.525082307292318085e+00 5.000000000000000000e+00
9.798994974874371877e+00 6.280152499219077811e+00 4.536586426475882838e+00 5.000000000000000000e+00
1.005025125628140614e+01 6.395034319631710318e+00 4.549099035435042460e+00 5.000000000000000000e+00
1.030150753768844041e+01 6.506673607584872343e+00 4.562356815787826925e+00 5.000000000000000000e+00
1.055276381909547645e+01 6.614911725644666340e+00 4.576138688397167087e+00 5.000000000000000000e+00
1.080402010050251249e+01 6.719640919542432478e+00 4.590259764709798240e+00 5.000000000000000000e+00
1.105527638190954676e+01 6.820795899246817839e+00 4.604566106858026586e+00 5.000000000000000000e+00
1.130653266331658102e+01 6.918346645088690572e+00 4.618930200774910233e+00 5.000000000000000000e+00
1.155778894472361706e+01 7.012292271038495173e+00 4.633247054122982433e+00 5.000000000000000000e+00
1.180904522613065311e+01 7.102655798366274809e+00 4.647430839097725475e+00 5.000000000000000000e+00
1.206030150753768737e+01 7.189479711945216067e+00 4.661412008542415109e+00 5.000000000000000000e+00
1.231155778894472164e+01 7.272822188413360145e+00 4.675134821917838579e+00 5.000000000000000000e+00
1.256281407035175768e+01 7.352753900384053409e+00 4.688555225278776994e+00 5.000000000000000000e+00
1.281407035175879372e+01 7.429355314036446778e+00 4.701639036395668825e+00 5.000000000000000000e+00
1.306532663316582799e+01 7.502714408886694386e+00 4.714360392473276207e+00 5.000000000000000000e+00
1.331658291457286225e+01 7.572924758508908560e+00 4.726700423554729191e+00 5.000000000000000000e+00
1.356783919597989829e+01 7.640083919609645058e+00 4.738646119684898572e+00 5.000000000000000000e+00
1.381909547738693433e+01 7.704292084319140699e+00 4.750189364284944205e+00 5.000000000000000000e+00
1.407035175879396860e+01 7.765650956992908860e+00 4.761326110012244150e+00 5.000000000000000000e+00
1.432160804020100286e+01 7.824262822351307101e+00 4.772055676702151139e+00 5.000000000000000000e+00
